web-scraper-order,web-scraper-start-url,cars,cars-href,price,carburant,Ville,group one,boite,puissance
"1679937054-1055","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=070&price_min=0","Camera Icon5129 000 DHRenault Kangoo diesel reprise OKVoitures d'occasionTimeFill Iconil y a 22 heuresMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Renault_Kangoo_diesel_reprise_OK_51526013.htm","129 000 DH","6 CV","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Kangoo""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2018""},{""group one"":""Kilométrage""},{""group one"":""70 000 - 74 999""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Marque""},{""group one"":""Renault""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","6 CV","Manuelle"
"1679937059-1056","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=070&price_min=0","Camera Icon7169 000 DHFord focus diesel titanium reprise okVoitures d'occasionTimeFill Iconil y a 22 heuresMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Ford_focus_diesel_titanium_reprise_ok_52291422.htm","169 000 DH","Diesel","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Focus""},{""group one"":""Année-Modèle""},{""group one"":""2018""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Kilométrage""},{""group one"":""60 000 - 64 999""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Première main""},{""group one"":""Oui""}]","Diesel","Manuelle"
"1679937062-1057","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=070&price_min=0","Camera Icon5159 000 DHFord focus diesel sport reprise OKVoitures d'occasionTimeFill Iconil y a 22 heuresMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Ford_focus_diesel_sport_reprise_OK_52453778.htm","159 000 DH","Diesel","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Focus""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Kilométrage""},{""group one"":""55 000 - 59 999""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""Année-Modèle""},{""group one"":""2018""}]","Diesel","6 CV"
"1679937069-1058","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8138 000 DHToyota Corolla Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconRabat","https://www.avito.ma/fr/rabat/voitures/Toyota_Corolla__52622684.htm","138 000 DH","5 CV","Rabat","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Corolla""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Marque""},{""group one"":""Toyota""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Kilométrage""},{""group one"":""150 000 - 159 999""}]","5 CV","Manuelle"
"1679937072-1059","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon5118 000 DHNissan Micra dieselVoitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Nissan_Micra_diesel_52532474.htm","118 000 DH","Manuelle","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Micra""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2018""},{""group one"":""Marque""},{""group one"":""Nissan""},{""group one"":""Kilométrage""},{""group one"":""60 000 - 64 999""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","Manuelle","6 CV"
"1679937075-1060","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon699 000 DHRenault Clio 4 dieselVoitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Renault_Clio_4_diesel_52433262.htm","99 000 DH","Manuelle","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Clio""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Kilométrage""},{""group one"":""95 000 - 99 999""},{""group one"":""Marque""},{""group one"":""Renault""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Année-Modèle""},{""group one"":""2016""}]","Manuelle","Diesel"
"1679937077-1061","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon5208 000 DHTouareg automatique diesel spécial Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca, 2 Mars","https://www.avito.ma/fr/2_mars/voitures/Touareg_automatique_diesel_sp%C3%A9cial__52323212.htm","208 000 DH","12 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""2 Mars""},{""group one"":""Modèle""},{""group one"":""Touareg""},{""group one"":""État""},{""group one"":""Bon""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Kilométrage""},{""group one"":""120 000 - 129 999""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Nombre de portes""},{""group one"":""3""},{""group one"":""Marque""},{""group one"":""Volkswagen""}]","12 CV","Automatique"
"1679937081-1062","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8107 000 DHford fiest Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconRabat","https://www.avito.ma/fr/rabat/voitures/ford_fiest__52622699.htm","107 000 DH","6 CV","Rabat","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Fiesta""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Année-Modèle""},{""group one"":""2017""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Kilométrage""},{""group one"":""50 000 - 54 999""},{""group one"":""Première main""},{""group one"":""Non""}]","6 CV","Manuelle"
"1679937086-1063","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon798 000 DHfiat doblo 2019 moi 12Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/fiat_doblo_2019_moi_12_52420806.htm","98 000 DH","Diesel","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Doblo""},{""group one"":""Kilométrage""},{""group one"":""60 000 - 64 999""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Marque""},{""group one"":""Fiat""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Année-Modèle""},{""group one"":""2019""},{""group one"":""Nombre de portes""},{""group one"":""5""}]","Diesel","Manuelle"
"1679937088-1064","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon5173 000 DHFord transit mliha Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/Ford_transit_mliha__51056607.htm","173 000 DH","Manuelle","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Transit""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Année-Modèle""},{""group one"":""2017""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""Kilométrage""},{""group one"":""85 000 - 89 999""},{""group one"":""Première main""},{""group one"":""Oui""}]","Manuelle","10 CV"
